f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,6,136.8,107.1,290.9,1125,10,20,0
a04,8,251.5,183.2,503.7,5500,30,60,1
a05,6,486.7,317.3,876.0,5156,30,60,1
a06,2,524.6,309.1,877.7,939,10,20,0
a07,2,989.7,253.6,1310.3,812,10,20,0
a08,7,1058.2,201.6,1321.8,5402,30,60,1
a09,8,1205.0,110.5,1341.5,5500,30,60,1
a10,3,1218.1,292.8,1540.9,1100,10,20,0
a11,1,1343.7,105.2,1484.9,1091,10,20,0
a12,7,1475.7,266.7,1801.4,5303,30,60,1
a13,1,1536.6,208.1,1782.7,1159,10,20,0
a14,8,1755.0,321.9,2135.9,5500,30,60,1
a15,8,1792.4,322.5,2156.9,5500,30,60,1
a16,4,1825.1,285.1,2172.2,5045,30,60,1
a17,3,1842.4,270.1,2148.5,976,10,20,0
a18,5,1884.6,371.3,2323.9,1091,10,20,0
a19,7,2155.6,335.3,2560.9,5331,30,60,1
a20,1,2169.6,297.7,2493.3,987,10,20,0
a21,7,2219.8,305.6,2595.4,5366,30,60,1
a22,6,2536.8,143.2,2748.0,5157,30,60,1
