f,M_ID,ETA,ServT,ETD,EP,P_Arr,P_Dep,Is_VIP
a03,3,48.7,126.9,239.6,922,10,20,0
a04,4,90.6,363.5,482.1,5003,30,60,1
a05,1,323.7,308.8,701.5,755,10,20,0
a06,5,365.6,169.0,592.6,1026,10,20,0
a07,6,390.0,157.6,589.6,1061,10,20,0
a08,6,426.7,271.0,744.7,5284,30,60,1
a09,2,612.9,304.5,969.4,5331,30,60,1
a10,2,633.0,179.1,876.1,920,10,20,0
a11,3,638.8,340.5,1018.3,902,10,20,0
a12,1,753.6,158.2,948.8,713,10,20,0
a13,4,792.3,137.3,981.6,5364,30,60,1
a14,7,817.4,392.1,1261.5,5316,30,60,1
a15,4,868.6,245.3,1162.9,5485,30,60,1
a16,5,1102.1,240.4,1403.5,5155,30,60,1
a17,2,1198.6,123.4,1364.0,5277,30,60,1
a18,5,1202.7,367.6,1632.3,1058,10,20,0
a19,1,1319.0,128.6,1474.6,1199,10,20,0
a20,7,1357.9,219.6,1630.5,5364,30,60,1
a21,4,1619.1,394.3,2079.4,5231,30,60,1
a22,2,1632.4,264.4,1930.8,826,10,20,0
a23,8,2002.8,170.5,2205.3,5500,30,60,1
a24,6,2010.4,140.3,2199.7,5497,30,60,1
a25,6,2012.9,233.4,2277.3,5228,30,60,1
a26,7,2171.7,311.7,2528.4,5339,30,60,1
a27,6,2219.3,154.6,2443.9,5419,30,60,1
a28,6,2219.8,329.7,2593.5,5340,30,60,1
a29,4,2458.3,388.8,2872.1,941,10,20,0
a30,5,2503.4,314.2,2848.6,5446,30,60,1
a31,2,2505.3,207.1,2748.4,4883,30,60,1
a32,1,2536.1,185.0,2791.1,849,10,20,0
a33,6,2614.4,346.9,3010.3,5131,30,60,1
a34,8,2967.0,263.4,3261.4,5500,30,60,1
a35,8,2996.9,369.6,3436.5,5500,30,60,1
a36,3,3016.0,389.5,3462.5,1093,10,20,0
a37,5,3105.3,256.0,3392.3,988,10,20,0
a38,4,3111.2,123.2,3276.4,960,10,20,0
a39,5,3185.7,142.1,3369.8,995,10,20,0
a40,4,3291.8,358.9,3693.7,1014,10,20,0
a41,5,3312.9,187.7,3556.6,4975,30,60,1
a42,8,3339.8,214.6,3584.4,5500,30,60,1
a43,4,3367.0,186.3,3579.3,1055,10,20,0
a44,1,3503.0,397.3,3940.3,1126,10,20,0
a45,6,3968.7,213.5,4235.2,5500,30,60,1
a46,6,4068.8,290.2,4403.0,5499,30,60,1
a47,7,4084.8,158.0,4279.8,5331,30,60,1
a48,7,4089.1,331.3,4479.4,5360,30,60,1
a49,2,4113.4,338.7,4506.1,1152,10,20,0
a50,4,4116.4,138.4,4320.8,5178,30,60,1
a51,3,4194.9,131.1,4391.0,1177,10,20,0
a52,8,4286.8,272.7,4622.5,5500,30,60,1
a53,6,4310.2,363.1,4720.3,1098,10,20,0
a54,7,4315.7,185.4,4572.1,5458,30,60,1
a55,2,4457.3,161.9,4655.2,1168,10,20,0
a56,8,4520.9,336.7,4908.6,5500,30,60,1
a57,2,4529.5,257.8,4817.3,777,10,20,0
a58,6,4607.9,150.7,4807.6,5331,30,60,1
a59,4,4619.4,326.8,4983.2,5375,30,60,1
a60,5,4687.9,387.1,5119.0,5062,30,60,1
a61,7,4810.8,239.1,5093.9,5419,30,60,1
a62,4,4973.1,324.6,5327.7,1097,10,20,0
a63,3,4996.9,331.1,5382.0,951,10,20,0
a64,3,5006.0,104.5,5136.5,5025,30,60,1
a65,7,5312.6,261.3,5627.9,5422,30,60,1
a66,7,5568.6,197.0,5825.6,5384,30,60,1
a67,2,5709.3,388.0,6144.3,805,10,20,0
a68,8,5761.0,393.9,6212.9,5500,30,60,1
a69,3,5796.8,223.0,6088.8,1012,10,20,0
a70,1,5950.0,172.7,6170.7,984,10,20,0
a71,4,6005.3,118.3,6147.6,931,10,20,0
a72,2,6061.2,205.9,6300.1,4943,30,60,1
a73,2,6156.7,317.4,6509.1,833,10,20,0
a74,4,6176.4,264.7,6499.1,1141,10,20,0
a75,6,6341.4,134.6,6504.0,5456,30,60,1
a76,1,6343.1,250.0,6665.1,749,10,20,0
a77,5,6374.7,250.7,6661.4,1044,10,20,0
a78,4,6382.6,296.8,6743.4,1130,10,20,0
a79,8,6519.5,281.4,6862.9,5500,30,60,1
a80,4,6645.6,384.4,7083.0,4653,30,60,1
a81,5,6649.3,225.0,6932.3,5083,30,60,1
a82,6,6709.2,392.3,7167.5,1188,10,20,0
a83,3,6920.7,221.9,7187.6,1076,10,20,0
a84,2,7033.1,243.5,7326.6,1058,10,20,0
