Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,EP,P_Arr,P_Dep,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5.00,5.00,210.00,200.00,210.00,0.00,10.00,1000.00,0.00,20.00,65,60,2026-07-07 11:57
a02,1,16,18,0.00,0.00,30.00,5.00,160.00,150.00,160.00,0.00,10.00,1000.00,0.00,20.00,65,60,2026-07-07 11:57
a03,0,25,30,136.80,0.00,0.00,0.00,107.10,290.90,0.00,0.00,0.00,1125.00,10.00,20.00,65,60,2026-07-07 11:57
a04,1,48,49,182.70,210.10,5.00,5.00,183.20,434.90,393.30,27.40,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:57
a05,0,25,30,276.80,0.00,0.00,0.00,317.30,666.10,0.00,0.00,0.00,5156.00,30.00,60.00,65,60,2026-07-07 11:57
a06,0,16,18,291.90,0.00,0.00,0.00,309.10,645.00,0.00,0.00,0.00,939.00,10.00,20.00,65,60,2026-07-07 11:57
a07,0,16,18,477.90,0.00,0.00,0.00,253.60,798.50,0.00,0.00,0.00,812.00,10.00,20.00,65,60,2026-07-07 11:57
a08,1,28,28,505.30,505.30,5.00,5.00,201.60,768.90,706.90,0.00,0.00,5402.00,30.00,60.00,65,60,2026-07-07 11:57
a09,0,48,49,564.10,0.00,0.00,0.00,110.50,700.60,0.00,0.00,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:57
a10,0,18,20,569.30,0.00,0.00,0.00,292.80,892.10,0.00,0.00,0.00,1100.00,10.00,20.00,65,60,2026-07-07 11:57
a11,1,15,17,619.60,619.60,38.00,5.00,105.20,760.80,724.80,0.00,0.00,1091.00,10.00,20.00,65,60,2026-07-07 11:57
a12,0,28,28,672.40,0.00,0.00,0.00,266.70,998.10,0.00,0.00,0.00,5303.00,30.00,60.00,65,60,2026-07-07 11:57
a13,1,15,17,696.70,707.00,5.00,5.00,208.10,942.80,915.10,10.30,0.00,1159.00,10.00,20.00,65,60,2026-07-07 11:57
a14,0,48,49,784.10,0.00,0.00,0.00,321.90,1165.00,0.00,0.00,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:57
a15,0,48,49,799.00,0.00,0.00,0.00,322.50,1163.50,0.00,0.00,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:57
a16,1,20,22,812.10,812.10,35.00,5.00,285.10,1159.20,1097.20,0.00,0.00,5045.00,30.00,60.00,65,60,2026-07-07 11:57
a17,1,18,20,819.00,819.00,35.00,32.00,270.10,1125.10,1089.10,0.00,0.00,976.00,10.00,20.00,65,60,2026-07-07 11:57
a18,0,22,25,835.90,0.00,0.00,0.00,371.30,1275.20,0.00,0.00,0.00,1091.00,10.00,20.00,65,60,2026-07-07 11:57
a19,0,28,28,944.30,0.00,0.00,0.00,335.30,1349.60,0.00,0.00,0.00,5331.00,30.00,60.00,65,60,2026-07-07 11:57
a20,0,15,17,949.90,0.00,0.00,0.00,297.70,1273.60,0.00,0.00,0.00,987.00,10.00,20.00,65,60,2026-07-07 11:57
a21,0,28,28,970.00,0.00,0.00,0.00,305.60,1345.60,0.00,0.00,0.00,5366.00,30.00,60.00,65,60,2026-07-07 11:57
a22,1,25,30,1096.80,1096.80,5.00,5.00,143.20,1308.00,1240.00,0.00,0.00,5157.00,30.00,60.00,65,60,2026-07-07 11:57
