Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,EP,P_Arr,P_Dep,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5.00,5.00,210.00,200.00,210.00,0.00,10.00,1000.00,0.00,20.00,65,60,2026-07-07 11:59
a02,1,16,18,0.00,0.00,30.00,5.00,160.00,150.00,160.00,0.00,10.00,1000.00,0.00,20.00,65,60,2026-07-07 11:59
a03,1,28,28,212.30,212.30,25.00,5.00,371.40,647.70,583.70,0.00,0.00,5495.00,30.00,60.00,65,60,2026-07-07 11:59
a04,0,18,20,248.40,0.00,0.00,0.00,219.60,510.00,0.00,0.00,0.00,953.00,10.00,20.00,65,60,2026-07-07 11:59
a05,1,15,17,300.60,300.60,5.00,5.00,124.10,459.70,424.70,0.00,0.00,1163.00,10.00,20.00,65,60,2026-07-07 11:59
a06,0,48,49,343.70,0.00,0.00,0.00,157.20,535.90,0.00,0.00,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:59
a07,1,25,30,759.30,759.30,5.00,5.00,339.00,1144.30,1098.30,0.00,0.00,1125.00,10.00,20.00,65,60,2026-07-07 11:59
a08,1,20,22,878.50,878.50,35.00,5.00,280.20,1212.70,1158.70,0.00,0.00,925.00,10.00,20.00,65,60,2026-07-07 11:59
a09,1,22,25,1130.20,1130.20,5.00,5.00,358.50,1523.70,1488.70,0.00,0.00,4858.00,30.00,60.00,65,60,2026-07-07 11:59
a10,0,15,17,1472.70,0.00,0.00,0.00,384.20,1885.90,0.00,0.00,0.00,864.00,10.00,20.00,65,60,2026-07-07 11:59
a11,1,25,30,1747.10,1747.10,25.00,5.00,270.10,2054.20,2017.20,0.00,0.00,5490.00,30.00,60.00,65,60,2026-07-07 11:59
a12,1,15,17,1765.30,1765.30,5.00,5.00,109.70,1932.00,1875.00,0.00,0.00,4096.00,30.00,60.00,65,60,2026-07-07 11:59
a13,0,16,18,1844.40,0.00,0.00,0.00,317.40,2209.80,0.00,0.00,0.00,5081.00,30.00,60.00,65,60,2026-07-07 11:59
a14,1,28,28,2164.80,2164.80,5.00,5.00,118.30,2334.10,2283.10,0.00,0.00,5412.00,30.00,60.00,65,60,2026-07-07 11:59
a15,1,22,25,2187.40,2187.40,38.00,5.00,228.00,2471.40,2415.40,0.00,0.00,5248.00,30.00,60.00,65,60,2026-07-07 11:59
a16,0,48,49,2194.00,0.00,0.00,0.00,190.20,2453.20,0.00,0.00,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:59
a17,0,48,49,2216.10,0.00,0.00,0.00,342.40,2583.50,0.00,0.00,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:59
a18,0,20,22,2414.80,0.00,0.00,0.00,381.60,2842.40,0.00,0.00,0.00,5163.00,30.00,60.00,65,60,2026-07-07 11:59
a19,1,48,49,2455.40,2455.40,5.00,5.00,114.30,2602.70,2569.70,0.00,0.00,5500.00,30.00,60.00,65,60,2026-07-07 11:59
a20,0,16,18,2471.40,0.00,0.00,0.00,354.20,2869.60,0.00,0.00,0.00,908.00,10.00,20.00,65,60,2026-07-07 11:59
a21,0,20,22,2640.60,0.00,0.00,0.00,392.40,3090.00,0.00,0.00,0.00,914.00,10.00,20.00,65,60,2026-07-07 11:59
a22,0,20,22,2684.50,0.00,0.00,0.00,398.30,3136.80,0.00,0.00,0.00,4791.00,30.00,60.00,65,60,2026-07-07 11:59
a23,1,28,28,2762.00,2762.00,5.00,5.00,211.90,3005.90,2973.90,0.00,0.00,5322.00,30.00,60.00,65,60,2026-07-07 11:59
a24,1,20,22,2777.00,2777.00,38.00,5.00,180.20,2992.20,2957.20,0.00,0.00,976.00,10.00,20.00,65,60,2026-07-07 11:59
a25,0,22,25,2814.80,0.00,0.00,0.00,367.20,3214.00,0.00,0.00,0.00,1120.00,10.00,20.00,65,60,2026-07-07 11:59
