Aircraft_ID,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,EP,P_Arr,P_Dep,Hangar_Width,Hangar_Length,StartDate
a01,1,20,22,0.00,0.00,5.00,5.00,210.00,200.00,210.00,0.00,10.00,1000,0,20,65,60,2026-06-18 22:00
a02,1,16,18,0.00,0.00,30.00,5.00,160.00,150.00,160.00,0.00,10.00,1000,0,20,65,60,2026-06-18 22:00
a03,0,18,20,99.30,0.00,0.00,0.00,274.90,402.20,0.00,0.00,0.00,904,10,20,65,60,2026-06-18 22:00
a04,1,18,20,340.70,340.70,5.00,5.00,251.30,622.00,592.00,0.00,0.00,1120,10,20,65,60,2026-06-18 22:00
a05,1,20,22,389.70,389.70,30.00,5.00,394.20,822.90,783.90,0.00,0.00,5389,30,60,65,60,2026-06-18 22:00
a06,0,28,28,641.60,0.00,0.00,0.00,276.10,985.70,0.00,0.00,0.00,5405,30,60,65,60,2026-06-18 22:00
a07,1,20,22,645.40,645.40,5.00,5.00,361.20,1053.60,1061.10,0.00,7.50,4838,30,60,65,60,2026-06-18 22:00
a08,1,18,20,709.90,709.90,5.00,32.00,351.10,1130.00,1061.00,0.00,0.00,4665,30,60,65,60,2026-06-18 22:00
a09,0,16,18,759.50,0.00,0.00,0.00,356.10,1163.60,0.00,0.00,0.00,926,10,20,65,60,2026-06-18 22:00
a10,1,18,20,838.90,838.90,30.00,5.00,129.60,1012.50,968.50,0.00,0.00,1003,10,20,65,60,2026-06-18 22:00
a11,0,15,17,932.10,0.00,0.00,0.00,346.50,1339.60,0.00,0.00,0.00,839,10,20,65,60,2026-06-18 22:00
a12,1,28,28,1028.40,1028.40,30.00,5.00,373.70,1428.10,1402.10,0.00,0.00,5406,30,60,65,60,2026-06-18 22:00
a13,1,18,20,1089.00,1089.00,5.00,5.00,194.90,1343.90,1283.90,0.00,0.00,5007,30,60,65,60,2026-06-18 22:00
a14,1,18,20,1099.80,1099.80,5.00,30.00,165.70,1319.50,1265.50,0.00,0.00,4464,30,60,65,60,2026-06-18 22:00
